book,est,mean_vol,t_vs_sample,p_vs_sample,sharpe_net,mean_turnover,months
long_only,sample,0.14139601508853528,,,0.7222681112373641,0.834381958937272,138
long_only,pca1,0.11702814276471164,-9.338064403598114,2.3986200365325676e-16,0.7804414721872013,0.11317160740669588,138
long_only,pca3,0.11936731436414544,-13.94142662005529,4.687669359772184e-28,0.8625752758923496,0.24243762567021698,138
long_only,pca5,0.12080853062974932,-15.329537449163261,1.6379979525857749e-31,0.7586630227221913,0.2694628241364045,138
long_only,jse1,0.11703534318782415,-9.291062984595117,3.145334114659371e-16,0.780149363291304,0.1135546200684058,138
long_only,jse3,0.11931402749463242,-13.935328199024651,4.856241088833605e-28,0.862752436941727,0.242985137826396,138
long_only,jse5,0.12076331734186156,-15.326996243527322,1.6617669589917122e-31,0.7585018450820273,0.2699634977720936,138
long_only,lw,0.13675732781334438,-8.84657816379812,4.0205694732707316e-15,0.734894369542869,0.44692380627527634,138
long_only,mp,0.13111102395001453,-10.048609177762588,3.87100502827643e-18,0.7583323479187728,0.27870090007968057,138
unconstrained,sample,0.1438295162301927,,,0.1142765794645729,8.64168269540084,138
unconstrained,pca1,0.14982973140803663,1.680133049006476,0.09521029596811041,0.3998906080249981,0.2882555214870478,138
unconstrained,pca3,0.13080328056019655,-3.7169205141025494,0.00029295846586828276,0.7942352308155083,0.9829075409961376,138
unconstrained,pca5,0.12066778046057675,-7.325517015448145,1.8514651928209844e-11,0.688730382676691,1.157321495806814,138
unconstrained,jse1,0.15290800154367498,2.4576887595246544,0.015232180907922648,0.39530180349528476,0.2989708168609675,138
unconstrained,jse3,0.13263854484278054,-3.1424948791571663,0.002053542167313617,0.7895440540861345,1.0080001722019896,138
unconstrained,jse5,0.12206703612058911,-6.795498772447772,3.030981955323033e-10,0.6840529301768138,1.183576190936755,138
unconstrained,lw,0.11621111960045946,-10.97051465387228,1.7319533390954514e-20,0.34290007514608084,3.2219349869834395,138
unconstrained,mp,0.11252023333563202,-11.892377938510121,7.574501044550841e-23,0.6852202079144775,1.0926809668342374,138
