window,arm,pc,p,coverage,univ_hash,pre_gics_restructure,snrhat,screen_q99,c4_flag,win_shuf_max,detectable,floor_raw,floor_rep,corrected,D,Dp,sec_r2,L,exact_p,a_match,screen_fail_high_known,cond,sec_min_count,label,recurrent
2022-11-21,A,1,458,0.911,f86a960ad380,True,5.6974,10.1092,True,1.523,False,0.1493,0.2181,True,0.4374,0.4555,0.8184,0.3519,0.0159,0.899,True,4.7,19,noise-like,False
2022-11-21,A,2,458,0.911,f86a960ad380,True,3.3708,1.6773,True,1.523,True,0.2288,0.2976,True,0.2745,0.4157,0.9232,0.1277,0.0159,0.5819,False,4.7,19,high-known-association,False
2022-11-21,A,3,458,0.911,f86a960ad380,True,2.3655,1.359,True,1.523,True,0.2971,0.3659,True,0.103,0.1048,0.774,0.3159,0.1429,0.6783,False,4.7,19,mixed-uncertain,False
2022-11-21,A,4,458,0.911,f86a960ad380,True,2.0625,1.2024,True,1.523,True,0.3265,0.3953,True,0.0755,0.1418,0.5474,0.1613,0.3175,0.6788,False,4.7,19,detectable-candidate-residual-risk,False
2022-11-21,A,5,458,0.911,f86a960ad380,True,1.8978,1.0635,True,1.523,True,0.3451,0.4139,True,0.178,0.1916,0.6687,0.1685,0.0317,0.5408,False,4.7,19,mixed-uncertain,False
2022-11-21,B,1,458,0.911,f86a960ad380,True,4.5631,10.6314,True,1.546,False,0.1798,0.2485,True,0.705,0.7372,0.6051,0.5309,0.0159,,True,994.6,19,noise-like,False
2022-11-21,B,2,458,0.911,f86a960ad380,True,2.304,1.8276,True,1.546,True,0.3027,0.3714,True,0.6231,0.6013,0.5087,0.1296,0.0159,,False,994.6,19,high-known-association,False
2022-11-21,B,3,458,0.911,f86a960ad380,True,1.9408,1.4592,True,1.546,True,0.34,0.4088,True,0.3587,0.3363,0.2817,0.2493,0.0794,,False,994.6,19,mixed-uncertain,False
2022-11-21,B,4,458,0.911,f86a960ad380,True,1.7015,1.2464,True,1.546,True,0.3702,0.4389,True,0.2734,0.2636,0.2166,0.367,0.3016,,False,994.6,19,detectable-candidate-residual-risk,False
2022-11-21,B,5,458,0.911,f86a960ad380,True,1.631,1.118,True,1.546,True,0.3801,0.4489,True,0.5554,0.4101,0.3373,0.2055,0.0159,,False,994.6,19,high-known-association,False
2023-02-23,A,1,461,0.917,4b51b08190d2,True,10.6672,10.1092,True,1.982,True,0.0857,0.154,True,0.5079,0.711,0.9746,0.3296,0.0159,0.8725,False,4.0,19,high-known-association,False
2023-02-23,A,2,461,0.917,4b51b08190d2,True,6.1218,1.6773,True,1.982,True,0.1404,0.2087,True,0.4469,0.5406,0.8499,0.0925,0.0159,0.8696,False,4.0,19,high-known-association,False
2023-02-23,A,3,461,0.917,4b51b08190d2,True,2.9544,1.359,True,1.982,True,0.2529,0.3212,True,0.133,0.0591,0.6795,0.4235,0.1111,0.8774,False,4.0,19,mixed-uncertain,False
2023-02-23,A,4,461,0.917,4b51b08190d2,True,2.3449,1.2024,True,1.982,True,0.299,0.3673,True,0.1327,0.0235,0.6473,0.217,0.0635,0.6613,False,4.0,19,mixed-uncertain,False
2023-02-23,A,5,461,0.917,4b51b08190d2,True,2.2062,1.0635,True,1.982,True,0.3119,0.3802,True,0.0428,0.0655,0.5475,0.2155,0.6508,0.7154,False,4.0,19,detectable-candidate-residual-risk,False
2023-02-23,B,1,461,0.917,4b51b08190d2,True,6.2974,10.6314,True,1.825,False,0.137,0.2054,True,0.9076,0.8708,0.7481,0.2934,0.0159,,True,1056.7,19,noise-like,False
2023-02-23,B,2,461,0.917,4b51b08190d2,True,3.0368,1.8276,True,1.825,True,0.2477,0.3161,True,0.5331,0.5139,0.4764,0.5769,0.0159,,False,1056.7,19,high-known-association,False
2023-02-23,B,3,461,0.917,4b51b08190d2,True,2.6472,1.4592,True,1.825,True,0.2742,0.3425,True,0.6669,0.5785,0.469,0.1993,0.0159,,False,1056.7,19,high-known-association,False
2023-02-23,B,4,461,0.917,4b51b08190d2,True,2.0557,1.2464,True,1.825,True,0.3273,0.3956,True,0.3147,0.3931,0.153,0.45,0.1587,,False,1056.7,19,mixed-uncertain,False
2023-02-23,B,5,461,0.917,4b51b08190d2,True,1.6859,1.118,True,1.825,True,0.3723,0.4406,True,0.5231,0.5139,0.4998,0.1251,0.0159,,False,1056.7,19,high-known-association,False
2023-05-24,A,1,465,0.924,505f564243b4,False,5.663,10.1092,True,2.641,False,0.1501,0.2178,True,0.427,0.5405,0.9194,0.185,0.0159,0.8651,True,4.2,19,noise-like,False
2023-05-24,A,2,465,0.924,505f564243b4,False,3.242,1.6773,True,2.641,True,0.2357,0.3035,True,0.1626,0.2974,0.6898,0.1963,0.0476,0.8185,False,4.2,19,mixed-uncertain,False
2023-05-24,A,3,465,0.924,505f564243b4,False,2.6296,1.359,True,2.641,True,0.2755,0.3433,True,0.0813,0.19,0.4568,0.3432,0.2857,0.8282,False,4.2,19,detectable-candidate-residual-risk,False
2023-05-24,A,4,465,0.924,505f564243b4,False,2.371,1.2024,True,2.641,True,0.2966,0.3644,True,0.0752,0.0534,0.2261,0.7017,0.3016,0.9555,False,4.2,19,mixed-uncertain,False
2023-05-24,A,5,465,0.924,505f564243b4,False,2.0233,1.0635,True,2.641,True,0.3308,0.3985,True,0.0724,0.0402,0.2811,0.299,0.3175,0.8717,False,4.2,19,detectable-candidate-residual-risk,False
2023-05-24,B,1,465,0.924,505f564243b4,False,3.2669,10.6314,True,2.685,False,0.2344,0.3021,True,0.5782,0.4668,0.3704,0.1908,0.0159,,True,1148.9,19,noise-like,False
2023-05-24,B,2,465,0.924,505f564243b4,False,3.0633,1.8276,True,2.685,True,0.2461,0.3138,True,0.6029,0.7033,0.5496,0.2734,0.0159,,False,1148.9,19,high-known-association,False
2023-05-24,B,3,465,0.924,505f564243b4,False,2.5821,1.4592,True,2.685,True,0.2792,0.3469,True,0.3255,0.3111,0.1361,0.6255,0.2381,,False,1148.9,19,mixed-uncertain,False
2023-05-24,B,4,465,0.924,505f564243b4,False,2.3682,1.2464,True,2.685,True,0.2969,0.3646,True,0.2773,0.2681,0.2265,0.4306,0.3651,,False,1148.9,19,detectable-candidate-residual-risk,False
2023-05-24,B,5,465,0.924,505f564243b4,False,2.1535,1.118,True,2.685,True,0.3171,0.3849,True,0.2483,0.303,0.1459,0.2051,0.4444,,False,1148.9,19,detectable-candidate-residual-risk,False
2023-08-24,A,1,466,0.926,ef5c290095ed,False,5.9839,10.1092,True,1.71,False,0.1432,0.2108,True,0.5371,0.6099,0.8904,0.1387,0.0159,0.7844,True,4.0,19,noise-like,False
2023-08-24,A,2,466,0.926,ef5c290095ed,False,4.3535,1.6773,True,1.71,True,0.1868,0.2544,True,0.1418,0.0227,0.6772,0.2863,0.0794,0.7802,False,4.0,19,mixed-uncertain,False
2023-08-24,A,3,466,0.926,ef5c290095ed,False,3.8011,1.359,True,1.71,True,0.2083,0.2759,True,0.106,0.0664,0.5427,0.2958,0.0794,0.8762,False,4.0,19,mixed-uncertain,False
2023-08-24,A,4,466,0.926,ef5c290095ed,False,2.5706,1.2024,True,1.71,True,0.2801,0.3477,True,0.0328,0.2076,0.6234,0.2836,0.746,0.7829,False,4.0,19,mixed-uncertain,False
2023-08-24,A,5,466,0.926,ef5c290095ed,False,2.3869,1.0635,True,1.71,True,0.2953,0.3629,True,0.1429,0.0895,0.3649,0.1818,0.0635,0.9323,False,4.0,19,mixed-uncertain,False
2023-08-24,B,1,466,0.926,ef5c290095ed,False,4.5796,10.6314,True,1.889,False,0.1792,0.2468,True,0.448,0.4648,0.2099,0.6233,0.0794,,False,1074.8,19,noise-like,False
2023-08-24,B,2,466,0.926,ef5c290095ed,False,3.2653,1.8276,True,1.889,True,0.2344,0.302,True,0.5072,0.5422,0.3481,0.4162,0.0159,,False,1074.8,19,high-known-association,False
2023-08-24,B,3,466,0.926,ef5c290095ed,False,2.7791,1.4592,True,1.889,True,0.2646,0.3322,True,0.4486,0.4262,0.3889,0.3622,0.0317,,False,1074.8,19,mixed-uncertain,False
2023-08-24,B,4,466,0.926,ef5c290095ed,False,2.4858,1.2464,True,1.889,True,0.2869,0.3545,True,0.5252,0.4273,0.3085,0.2953,0.0159,,False,1074.8,19,high-known-association,False
2023-08-24,B,5,466,0.926,ef5c290095ed,False,2.1839,1.118,True,1.889,True,0.3141,0.3817,True,0.5214,0.5267,0.4688,0.2712,0.0317,,False,1074.8,19,high-known-association,False
2023-11-22,A,1,468,0.93,ee179826d0c0,False,7.1375,10.1092,True,2.064,False,0.1229,0.1902,True,0.559,0.6227,0.9772,0.1327,0.0159,0.8044,True,4.5,19,noise-like,False
2023-11-22,A,2,468,0.93,ee179826d0c0,False,3.4951,1.6773,True,2.064,True,0.2225,0.2898,True,0.3743,0.6747,0.6989,0.6636,0.0159,0.9306,False,4.5,19,high-known-association,False
2023-11-22,A,3,468,0.93,ee179826d0c0,False,2.404,1.359,True,2.064,True,0.2938,0.3611,True,0.295,0.2925,0.4517,0.5507,0.0159,0.9629,False,4.5,19,high-known-association,False
2023-11-22,A,4,468,0.93,ee179826d0c0,False,2.0818,1.2024,True,2.064,True,0.3245,0.3918,True,0.0957,0.0261,0.4107,0.3921,0.2063,0.8938,False,4.5,19,mixed-uncertain,False
