window,pc,p,n,coverage,primary,pn_ok,drop_beta,drop_an,univ_hash,snrhat,floor_raw,floor_rep,corrected,D,D2,pval,null_q75,null_q99,angle_med,trusted,bucket
2019-02-22,1,394,63,0.78,False,False,2,0,8d5d373d281b,6.0769,0.1413,0.1413,False,0.3894,0.4224,1e-05,0.0877,0.196,,True,material-known-assoc
2019-02-22,2,394,63,0.78,False,False,2,0,8d5d373d281b,3.0379,0.2477,0.2477,False,0.0246,0.3786,0.83229,0.0877,0.196,,True,low-known-assoc
2019-02-22,3,394,63,0.78,False,False,2,0,8d5d373d281b,2.477,0.2876,0.2876,False,0.0365,0.1876,0.69984,0.0877,0.196,,True,low-known-assoc
2019-02-22,4,394,63,0.78,False,False,2,0,8d5d373d281b,2.3052,0.3025,0.3025,False,0.1245,0.0527,0.09762,0.0877,0.196,,True,mixed
2019-02-22,5,394,63,0.78,False,False,2,0,8d5d373d281b,2.0755,0.3252,0.3252,False,0.2708,0.4968,0.00093,0.0877,0.196,,True,material-known-assoc
2019-05-23,1,395,63,0.782,False,False,3,0,61fea9793ade,6.6607,0.1305,0.1305,False,0.4585,0.7811,0.0,0.0836,0.1759,13.23,True,material-known-assoc
2019-05-23,2,395,63,0.782,False,False,3,0,61fea9793ade,3.261,0.2347,0.2347,False,0.2297,0.1831,0.00396,0.0836,0.1759,13.23,True,material-known-assoc
2019-05-23,3,395,63,0.782,False,False,3,0,61fea9793ade,2.3636,0.2973,0.2973,False,0.1121,0.297,0.13525,0.0836,0.1759,13.23,True,mixed
2019-05-23,4,395,63,0.782,False,False,3,0,61fea9793ade,2.1158,0.3209,0.3209,False,0.2241,0.1861,0.00478,0.0836,0.1759,13.23,True,material-known-assoc
2019-05-23,5,395,63,0.782,False,False,3,0,61fea9793ade,1.974,0.3363,0.3363,False,0.1388,0.1266,0.06586,0.0836,0.1759,13.23,True,mixed
2019-08-22,1,402,63,0.796,False,False,5,0,4d36e4f069ac,6.5253,0.1329,0.1329,False,0.8544,0.783,0.0,0.0766,0.1921,17.37,True,material-known-assoc
2019-08-22,2,402,63,0.796,False,False,5,0,4d36e4f069ac,4.2581,0.1902,0.1902,False,0.0326,0.1735,0.74458,0.0766,0.1921,17.37,True,low-known-assoc
2019-08-22,3,402,63,0.796,False,False,5,0,4d36e4f069ac,3.2917,0.233,0.233,False,0.065,0.0509,0.41057,0.0766,0.1921,17.37,True,low-known-assoc
2019-08-22,4,402,63,0.796,False,False,5,0,4d36e4f069ac,2.7086,0.2696,0.2696,False,0.0684,0.0542,0.3822,0.0766,0.1921,17.37,True,low-known-assoc
2019-08-22,5,402,63,0.796,False,False,5,0,4d36e4f069ac,1.9564,0.3382,0.3382,False,0.0145,0.0392,0.93014,0.0766,0.1921,17.37,True,low-known-assoc
2019-11-20,1,406,63,0.804,False,False,5,0,6fe815c66817,4.1246,0.1951,0.1951,False,0.1646,0.3317,0.03136,0.0862,0.2399,17.69,True,mixed
2019-11-20,2,406,63,0.804,False,False,5,0,6fe815c66817,3.1056,0.2436,0.2436,False,0.4313,0.1847,0.0,0.0862,0.2399,17.69,True,material-known-assoc
2019-11-20,3,406,63,0.804,False,False,5,0,6fe815c66817,2.2841,0.3045,0.3045,False,0.3711,0.5105,2e-05,0.0862,0.2399,17.69,True,material-known-assoc
2019-11-20,4,406,63,0.804,False,False,5,0,6fe815c66817,2.161,0.3164,0.3164,False,0.0801,0.1714,0.29495,0.0862,0.2399,17.69,True,low-known-assoc
2019-11-20,5,406,63,0.804,False,False,5,0,6fe815c66817,1.9973,0.3336,0.3336,False,0.1053,0.046,0.16069,0.0862,0.2399,17.69,True,mixed
2020-02-24,1,412,63,0.816,False,False,5,0,78da0c461879,40.6656,0.024,0.024,False,0.8436,0.8965,0.0,0.0874,0.2091,17.79,True,material-known-assoc
2020-02-24,2,412,63,0.816,False,False,5,0,78da0c461879,20.1905,0.0472,0.0472,False,0.3902,0.7903,1e-05,0.0874,0.2091,17.79,True,material-known-assoc
2020-02-24,3,412,63,0.816,False,False,5,0,78da0c461879,6.3643,0.1358,0.1358,False,0.2118,0.1063,0.00718,0.0874,0.2091,17.79,True,material-known-assoc
2020-02-24,4,412,63,0.816,False,False,5,0,78da0c461879,4.656,0.1768,0.1768,False,0.0674,0.0368,0.39088,0.0874,0.2091,17.79,True,low-known-assoc
2020-02-24,5,412,63,0.816,False,False,5,0,78da0c461879,4.3275,0.1877,0.1877,False,0.1199,0.3667,0.11032,0.0874,0.2091,17.79,True,mixed
2020-05-22,1,421,63,0.834,False,False,3,0,ab650196868d,5.4259,0.1556,0.1556,False,0.7218,0.7207,0.0,0.0927,0.1889,38.35,True,material-known-assoc
2020-05-22,2,421,63,0.834,False,False,3,0,ab650196868d,3.5628,0.2192,0.2192,False,0.3961,0.5707,1e-05,0.0927,0.1889,38.35,True,material-known-assoc
2020-05-22,3,421,63,0.834,False,False,3,0,ab650196868d,3.174,0.2396,0.2396,False,0.2484,0.2912,0.00208,0.0927,0.1889,38.35,True,material-known-assoc
2020-05-22,4,421,63,0.834,False,False,3,0,ab650196868d,2.6244,0.2759,0.2759,False,0.1361,0.0736,0.07099,0.0927,0.1889,38.35,True,mixed
2020-05-22,5,421,63,0.834,False,False,3,0,ab650196868d,2.2399,0.3086,0.3086,False,0.1685,0.249,0.02795,0.0927,0.1889,38.35,True,mixed
2020-08-21,1,424,63,0.84,False,False,2,0,b8695aa45edc,15.6405,0.0601,0.0601,False,0.8636,0.6424,0.0,0.0849,0.2085,10.44,True,material-known-assoc
2020-08-21,2,424,63,0.84,False,False,2,0,b8695aa45edc,6.1385,0.1401,0.1401,False,0.3191,0.0912,0.00015,0.0849,0.2085,10.44,True,material-known-assoc
2020-08-21,3,424,63,0.84,False,False,2,0,b8695aa45edc,4.489,0.1822,0.1822,False,0.225,0.5938,0.00464,0.0849,0.2085,10.44,True,material-known-assoc
2020-08-21,4,424,63,0.84,False,False,2,0,b8695aa45edc,2.567,0.2804,0.2804,False,0.1886,0.1704,0.01508,0.0849,0.2085,10.44,True,mixed
2020-08-21,5,424,63,0.84,False,False,2,0,b8695aa45edc,1.9748,0.3362,0.3362,False,0.0538,0.0343,0.51526,0.0849,0.2085,10.44,True,low-known-assoc
2020-11-19,1,427,63,0.846,False,False,2,0,f5520ae1c308,8.2608,0.108,0.108,False,0.293,0.5158,0.00041,0.0929,0.1721,8.26,True,material-known-assoc
2020-11-19,2,427,63,0.846,False,False,2,0,f5520ae1c308,5.1407,0.1628,0.1628,False,0.5054,0.3807,0.0,0.0929,0.1721,8.26,True,material-known-assoc
2020-11-19,3,427,63,0.846,False,False,2,0,f5520ae1c308,3.0354,0.2478,0.2478,False,0.4456,0.522,0.0,0.0929,0.1721,8.26,True,material-known-assoc
2020-11-19,4,427,63,0.846,False,False,2,0,f5520ae1c308,2.3806,0.2958,0.2958,False,0.0969,0.0655,0.19843,0.0929,0.1721,8.26,True,mixed
2020-11-19,5,427,63,0.846,False,False,2,0,f5520ae1c308,1.9491,0.3391,0.3391,False,0.3215,0.3559,0.00013,0.0929,0.1721,8.26,True,material-known-assoc
2021-02-23,1,431,63,0.853,False,False,2,0,d68630a5e551,9.3404,0.0967,0.0967,False,0.6893,0.8678,0.0,0.0884,0.2138,6.81,True,material-known-assoc
2021-02-23,2,431,63,0.853,False,False,2,0,d68630a5e551,4.0637,0.1975,0.1975,False,0.4995,0.4718,0.0,0.0884,0.2138,6.81,True,material-known-assoc
2021-02-23,3,431,63,0.853,False,False,2,0,d68630a5e551,3.0454,0.2472,0.2472,False,0.069,0.3581,0.37715,0.0884,0.2138,6.81,True,low-known-assoc
2021-02-23,4,431,63,0.853,False,False,2,0,d68630a5e551,2.0703,0.3257,0.3257,False,0.1279,0.0676,0.08889,0.0884,0.2138,6.81,True,mixed
2021-02-23,5,431,63,0.853,False,False,2,0,d68630a5e551,2.027,0.3304,0.3304,False,0.1105,0.0912,0.14075,0.0884,0.2138,6.81,True,mixed
2021-05-24,1,438,63,0.867,False,False,0,0,e88ac78960d5,4.4006,0.1852,0.1852,False,0.4638,0.6696,0.0,0.0833,0.163,28.58,True,material-known-assoc
2021-05-24,2,438,63,0.867,False,False,0,0,e88ac78960d5,3.3424,0.2303,0.2303,False,0.1317,0.1641,0.0803,0.0833,0.163,28.58,True,mixed
2021-05-24,3,438,63,0.867,False,False,0,0,e88ac78960d5,2.6462,0.2743,0.2743,False,0.074,0.083,0.33821,0.0833,0.163,28.58,True,low-known-assoc
2021-05-24,4,438,63,0.867,False,False,0,0,e88ac78960d5,2.5524,0.2815,0.2815,False,0.1461,0.1949,0.05376,0.0833,0.163,28.58,True,mixed
2021-05-24,5,438,63,0.867,False,False,0,0,e88ac78960d5,2.1115,0.3214,0.3214,False,0.1244,0.1161,0.09791,0.0833,0.163,28.58,True,mixed
2021-08-23,1,439,63,0.869,False,False,1,0,0d36e40fb862,4.7504,0.1739,0.1739,False,0.5337,0.623,0.0,0.0942,0.2098,10.91,True,material-known-assoc
2021-08-23,2,439,63,0.869,False,False,1,0,0d36e40fb862,4.4578,0.1832,0.1832,False,0.1867,0.4064,0.01603,0.0942,0.2098,10.91,True,mixed
2021-08-23,3,439,63,0.869,False,False,1,0,0d36e40fb862,3.251,0.2352,0.2352,False,0.0532,0.0959,0.52127,0.0942,0.2098,10.91,True,low-known-assoc
2021-08-23,4,439,63,0.869,False,False,1,0,0d36e40fb862,2.7111,0.2695,0.2695,False,0.0495,0.2117,0.55885,0.0942,0.2098,10.91,True,low-known-assoc
2021-08-23,5,439,63,0.869,False,False,1,0,0d36e40fb862,2.4382,0.2908,0.2908,False,0.0636,0.1254,0.42263,0.0942,0.2098,10.91,True,low-known-assoc
2021-11-19,1,441,63,0.873,False,True,1,0,be8b4da5757e,5.2052,0.1612,0.2326,True,0.1702,0.5444,0.0265,0.0796,0.204,12.55,True,mixed
2021-11-19,2,441,63,0.873,False,True,1,0,be8b4da5757e,4.4142,0.1847,0.2561,True,0.5988,0.7016,0.0,0.0796,0.204,12.55,True,material-known-assoc
2021-11-19,3,441,63,0.873,False,True,1,0,be8b4da5757e,2.9626,0.2524,0.3238,True,0.419,0.2008,0.0,0.0796,0.204,12.55,True,material-known-assoc
2021-11-19,4,441,63,0.873,False,True,1,0,be8b4da5757e,2.8772,0.2579,0.3293,True,0.2773,0.1001,0.00073,0.0796,0.204,12.55,True,material-known-assoc
2021-11-19,5,441,63,0.873,False,True,1,0,be8b4da5757e,2.4266,0.2918,0.3633,True,0.0225,0.1612,0.85405,0.0796,0.204,12.55,True,low-known-assoc
