uni,n,k,date,p,rot_spread,V_full,V_lw,V_pf0.5,V_pf1.0,V_pf2.0,V_uni
large,63,5,2018-05-01,475,0.5864756627668448,0.06491317421209497,0.07453456044250066,0.07571772416389413,0.08270000195961329,0.08780307906588503,0.0975387613163114
large,63,5,2018-06-01,475,0.6746300467941543,0.06357371870712779,0.04588632389882347,0.046312575978777255,0.0509517845970967,0.05469727499043232,0.07465850609283539
large,63,5,2018-07-02,475,0.6704295746663005,0.08431622656394032,0.06964112638235788,0.06713151202148193,0.07092098107728606,0.07339657459944952,0.08642479993973909
large,63,5,2018-08-01,475,0.637014557606891,0.05606309050821751,0.055785347462399035,0.060895141843682415,0.06391188576982984,0.06668624752809375,0.07199096892030966
large,63,5,2018-09-04,475,0.5696884460183318,0.06098041517232658,0.052592229299819125,0.054586513128271376,0.05581589232618594,0.05657438577747812,0.05422590040396401
large,63,5,2018-10-01,475,0.3828563218872696,0.154442189011203,0.15338845371069826,0.1865183781331043,0.19755846379700878,0.2064917591730719,0.2113803643455482
large,63,5,2018-11-01,476,0.6474581793248396,0.09141505041586616,0.11346394031002671,0.12074496076378788,0.12577090485938555,0.12932212524412443,0.16250505958118777
large,63,5,2018-12-03,476,0.6447351005176502,0.19261545863063323,0.17884284545219606,0.21675419001146734,0.22587129249619017,0.23187225995475144,0.26912358762985256
large,63,5,2019-01-02,476,0.6804655687516001,0.10971221381483053,0.10725691567111913,0.09910386092547101,0.10747090376027844,0.11352300200431353,0.16534315758062132
large,63,5,2019-02-01,476,0.39790265667192104,0.08360809542737178,0.07345085350087095,0.05727832468748908,0.05633920708589691,0.057099317617904995,0.06298220912636503
large,63,5,2019-03-01,476,0.34436579483675694,0.08673164389794634,0.06565799397875509,0.06559927105294308,0.06958065406256375,0.07768873628431869,0.10034238490899301
large,63,5,2019-04-01,477,0.40127459580792596,0.07181520821559931,0.07708659131127686,0.07309490548160251,0.07435683636548297,0.07556307222380196,0.07427968292189097
large,63,5,2019-05-01,477,0.5892086455962985,0.09236900909092184,0.08520001817484976,0.10446996549364858,0.11369503406796343,0.12150628255248404,0.13694816739451307
large,63,5,2019-06-03,477,0.5268568990191176,0.11415741265298579,0.09883872230843374,0.09347278185257561,0.0905761209608004,0.09045733357668864,0.10033779136793658
large,63,5,2019-07-01,480,0.5214343250456509,0.07988519491086735,0.07351184525986791,0.0680449780198187,0.0698656332163737,0.0730483369186765,0.08105378296682922
large,63,5,2019-08-01,480,0.4673738150912944,0.14947847692210633,0.16864850661279515,0.17299164839464679,0.179158654870604,0.18698505563467732,0.2069501819109591
large,63,5,2019-09-03,482,0.6451973356929256,0.10528341033679411,0.07048882382584579,0.05845188241385888,0.06372566210359414,0.06889943828297641,0.09533819087256225
large,63,5,2019-10-01,483,0.6081283481423964,0.10006845822665737,0.0922630370811795,0.0901865192376875,0.09191606938348015,0.09728308620761959,0.11682173543234746
large,63,5,2019-11-01,483,0.3460381554463058,0.09597545751484551,0.07182682759464001,0.05872704896090481,0.05712012273444584,0.058482677101446535,0.057554355242715266
large,63,5,2019-12-02,483,0.35882383158870923,0.06778670284708334,0.06347801201469407,0.05040266756732017,0.05133771179114139,0.05342339680438002,0.059455154545917634
large,63,5,2020-01-02,484,0.3057548721551753,0.06611091328435337,0.0754309611491227,0.09350585812602825,0.10174702025664378,0.10901284606640683,0.10868873918588778
large,63,5,2020-02-03,484,0.512984701630827,0.28473152395877116,0.27001971205068204,0.27117301091013496,0.2732033209371622,0.2757518742146435,0.2802839859316535
large,63,5,2020-03-02,484,0.49106148264014426,0.5633057206908062,0.6360375696424347,0.8129914757169269,0.8662003648639011,0.9105469041412456,0.9553041025210853
large,63,5,2020-04-01,484,0.6201060099670691,0.2868947527718065,0.22031420145253383,0.2609073727789703,0.29245959606422534,0.33085161226792353,0.44503908302346373
large,63,5,2020-05-01,484,0.6248916868526104,0.162650915349083,0.19995818127101644,0.1603960578636714,0.16037198811033965,0.16813654020361093,0.26873926972263695
large,63,5,2020-06-01,484,0.4437430185509462,0.1536623282235203,0.1423380574223192,0.16049655768764198,0.1732469854258877,0.1940382719010259,0.28472288232061704
large,63,5,2020-07-01,486,0.46448749728262545,0.10018145623257775,0.12494975641654305,0.09356649214980498,0.09648678417972195,0.10156469763673476,0.1274436503109885
