,ic21,t21,hit21,n21,ic63,t63,hit63,n63
st_reversal_21d,0.00515024172431883,0.33884213291309373,0.5185185185185185,135.0,0.004642016584497052,0.3232844890098539,0.5407407407407407,135.0
sector_rel_mom_12_1,0.0005328525425906376,0.03383987581536961,0.5481481481481482,135.0,0.00861100957827749,0.5859276986040238,0.5851851851851851,135.0
residual_mom_12_1,0.004200672108892164,0.268913057136976,0.5338345864661654,133.0,0.017343697496876635,1.2155614033604705,0.6090225563909775,133.0
ivol_60d_low,0.002424266922949033,0.1557632261184993,0.5037037037037037,135.0,0.004690753901496831,0.31095877410413764,0.5555555555555556,135.0
dispersion_resid_21d,-0.0011171007913807183,-0.09329301105168304,0.4888888888888889,135.0,-0.006418578245407842,-0.6077474596828966,0.48148148148148145,135.0
volume_shock,0.0010175965752150917,0.126952513279949,0.5111111111111111,135.0,-0.003088905234754934,-0.42613444733363515,0.45925925925925926,135.0
overnight_share_126d,-0.002389587977371148,-0.21364887424929727,0.5259259259259259,135.0,-0.00590586739854259,-0.4806763585108197,0.45185185185185184,135.0
gap_persistence_63d,0.0018996901044356464,0.2456459300169071,0.5407407407407407,135.0,0.003440088857841817,0.5202886617302693,0.5481481481481482,135.0
low_vol_60d,-0.006197901270325462,-0.2888954577979797,0.5037037037037037,135.0,-0.010432769978036792,-0.5049699809241293,0.5259259259259259,135.0
high_52w_prox,-0.0004314826996801643,-0.02133125043431114,0.5407407407407407,135.0,0.005642007108625141,0.3175091022102135,0.5703703703703704,135.0
