historical_ticker,proposed_successor_ticker,predecessor_name,successor_name,effective_date,event_type,old_cik,new_cik,figi,sources,confidence,price_continuity_valid,manual_review_required
AAMRQ,,,,,bankruptcy,,,,none,uncertain,False,True
ABI,,,,,uncertain,,,,none,uncertain,uncertain,True
ABKFQ,,,,,bankruptcy,,,,none,uncertain,False,True
ABX,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
ACKH,,,,,uncertain,,,,none,uncertain,uncertain,True
ACV,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
ADCT,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
AFS-A,,,,,share-class change,,,,none,uncertain,True,True
ANRZQ,,,,,bankruptcy,,,,none,uncertain,False,True
ANV,,,,,uncertain,,,,none,uncertain,uncertain,True
AS,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
ASC,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
ASND,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
AV,,,,,uncertain,,,,none,uncertain,uncertain,True
AZA-A,,,,,share-class change,,,,none,uncertain,True,True
BAY,,,,,uncertain,,,,none,uncertain,uncertain,True
BHMSQ,,,,,bankruptcy,,,,none,uncertain,False,True
BKB,,,,,uncertain,,,,none,uncertain,uncertain,True
BLY,,,,,uncertain,,,,none,uncertain,uncertain,True
BMGCA,,,,,uncertain,,,,none,uncertain,uncertain,True
BOAT,,,,,uncertain,,,,none,uncertain,uncertain,True
BUD,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
CAL,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
CCB,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
CCTYQ,,,,,bankruptcy,,,,none,uncertain,False,True
CCU,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
CGP,,,,,uncertain,,,,none,uncertain,uncertain,True
CHA,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
CHRS,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
CIT-A,,CIT Group Inc.,,2022-01-04,share-class change,,,BBG00JPW01R8,polygon_reference:CIT,medium,True,True
CITGQ,,,,,bankruptcy,,,,none,uncertain,False,True
CMB,,,,,uncertain,,,,none,uncertain,uncertain,True
CNG,,,,,uncertain,,,,none,uncertain,uncertain,True
CNXT,,,,,uncertain,,,,none,uncertain,uncertain,True
COC-B,,,,,share-class change,,,,none,uncertain,True,True
CPNLQ,,,,,bankruptcy,,,,none,uncertain,False,True
DALRQ,,,,,bankruptcy,,,,none,uncertain,False,True
DCNAQ,,,,,bankruptcy,,,,none,uncertain,False,True
DDS,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
DEC,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
DGN,,,,,uncertain,,,,none,uncertain,uncertain,True
DPHIQ,,,,,bankruptcy,,,,none,uncertain,False,True
DWD,,,,,uncertain,,,,none,uncertain,uncertain,True
DYN,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
EC,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
ECH,,,,,uncertain,,,,none,uncertain,uncertain,True
ECO,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
EFU,,,,,uncertain,,,,none,uncertain,uncertain,True
EKDKQ,,,,,bankruptcy,,,,none,uncertain,False,True
ENRNQ,,,,,bankruptcy,,,,none,uncertain,False,True
EP,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
EQ,,,,,bankruptcy,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
ETS,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
FBO,,,,,uncertain,,,,none,uncertain,uncertain,True
FII,,,,,uncertain,,,,none,uncertain,uncertain,True
FJ,,,,,uncertain,,,,none,uncertain,uncertain,True
FLMIQ,,,,,bankruptcy,,,,none,uncertain,False,True
FLTWQ,,,,,bankruptcy,,,,none,uncertain,False,True
FMCC,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
FMY,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
FNMA,,,,,uncertain,,,,sec_company_tickers:ticker-active(reuse?),low,uncertain,True
